ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ENDERECO,BAIRRO,CEP,ES_TIPO,ES_DEPADM
287,-46577139,-23516816,355030889000005,3550308005035,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CDM ADHEMAR DE BARROS,"PRAÇA ENGENHEIRO HUGO BRANDI, 1",VILA MARIA,02168-050,11,1
288,-46575348,-23509200,355030889000001,3550308005033,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CDM CECÍLIA MEIRELLES,"RUA SOLDADO ANESIO ANTÃO FERREIRA, 31",PARQUE NOVO MUNDO,02142-000,11,1
289,-46569019,-23499295,355030892000083,3550308005068,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CDM LAURO MEGALE,"ALAMEDA 1º SARGENTO OSMAR CORTES CLARO, 140",PRAÇA NOVO MUNDO,02145-050,11,1
290,-46572327,-23486947,355030892000023,3550308005069,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CDM SALVELINO FERREIRA,"RUA  JOSÉ ANILDO DA MATA, 415",VILA SABRINA,02224-110,11,1
291,-46650384,-23457436,355030813000104,3550308005125,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CDM PEDRA BRANCA,"RUA DESEMBARGADOR RODRIGUES SETE, 195",JARDIM PERI,02634-070,11,1
292,-46582725,-23460998,355030839000047,3550308005070,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,CDM JAÇANÃ,"AVENIDA  ANTONIO CESAR NETO, 347",GUAPIRA,02276-000,11,1
293,-46515829,-23587715,355030876000154,3550308005156,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,CDM JOSÉ PANTA ALVES,"RUA  PEDRO DE CASTRO VELHO, 87",JARDIM IVA,03921-000,11,1
294,-46516680,-23583175,355030804000076,3550308005153,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,CDM ANGELLO ROSELLI (VILA RICA I),"RUA PROFESSORA ALZIRA DE OLIVEIRA GIGLIOLI, 10 A",VILA RICA,03905-090,11,1
295,-46514931,-23546721,355030891000019,3550308005076,93,VILA MATILDE,21,PENHA,Leste,Leste 1,CDM UNI LESTE DE ESPORTES ATLÉTICOS,"RUA  DIAS PENTEADO, 200",JARDIM MARINGÁ,03524-020,11,1
296,-46508210,-23555489,355030824000123,3550308005150,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CDM PROL LESTE,"RUA  LANDIRANA, 335",JD. SANTA MARIA,03575-140,11,1
297,-46511368,-23548930,355030891000040,3550308005076,93,VILA MATILDE,21,PENHA,Leste,Leste 1,CDM VILA MATILDE,RUA  LUPIONOPOLIS,JARDIM MARINGÁ,03525-000,11,1
298,-46503327,-23535528,355030891000088,3550308005147,93,VILA MATILDE,21,PENHA,Leste,Leste 1,CDM CIDADE PATRIARCA,"RUA PROFESSOR TITO NOVAIS, 60",CIDADE PATRIARCA,03552-060,11,1
299,-46492623,-23573477,355030824000050,3550308005152,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CDM UNIÃO DO MORRO DO JARDIM SANTA TEREZINHA,RUA  ASTOLFO MARQUES / JAPARANA,JARDIM SANTA TEREZA,03572-260,11,1
300,-46495086,-23562845,355030824000030,3550308005150,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CDM PAULINO ALVES DA SILVA,RUA  PEDRO DE MENA,JARDIM MARILIA,03579-270,11,1
301,-46482373,-23539387,355030805000006,3550308005146,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,CDM SAO LUIZ II,"RUA  BOIPEVA, 27",CIDADE A E CARVALHO,08220-030,11,1
302,-46474601,-23554848,355030824000097,3550308005203,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CDM CIDADE LÍDER,"RUA  CASIMIRO MISSKINIZ, 157",CIDADE LIDER,08285-200,11,1
303,-46481029,-23545785,355030805000079,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,CDM ALVORADA CONJUNTO PADRE MANOEL DA NOBREGA,"AVENIDA PADRE ESTANISLAU DE CAMPOS, 430",COHAB PE. MANOEL DA NÓBREGA,03590-060,11,1
304,-46479254,-23531136,355030805000068,3550308005146,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,CDM JARDIM COIMBRA,"RUA  NICOLO TARTAGLIA, 171",JARDIM COIMBRA,03693-050,11,1
305,-46474576,-23530259,355030805000071,3550308005146,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,CDM ÁGUIA DE HAIA,RUA  PITAGORAS,JARDIM COIMBRA,03693-010,11,1
306,-46529437,-23513828,355030818000073,3550308005073,18,CANGAIBA,21,PENHA,Leste,Leste 1,CDM MANOEL VIDAL,AVENIDA GOVERNADOR CARVALHO PINTO,VILA SÃO GERALDO,03601-000,11,1
307,-46505032,-23515802,355030864000069,3550308005142,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,CDM AYRTON SENNA DA SILVA,"AVENIDA  JAIME TORRES, 850",JARDIM POPULAR,03670-000,11,1
308,-46499016,-23507666,355030864000093,3550308005142,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,CDM VINTE E NOVE DE JUNHO,"RUA  SAUL DE CAMARGO NEVES, 49",VILA CONSTANCA,03755-100,11,1
309,-46486941,-23517205,355030864000030,3550308005143,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,CDM DÉLIO DE CARVALHO,"RUA  ANTONIO PEDRO CEARÁ, 18",VILA SÃO FRANCISCO,03678-120,11,1
310,-46482551,-23516737,355030864000049,3550308005143,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,CDM FLOR DA MOCIDADE DO BURGO PAULISTA,"RUA  BARTOLOMEO BELLAND, 2",BURGO PAULISTA,03682-070,11,1
311,-46495542,-23498741,355030818000142,3550308005138,18,CANGAIBA,21,PENHA,Leste,Leste 1,CDM VILA CISPER ( 3 COROAS ),"RUA  CAETANO E. FIGUEIREDO, 1242",VILA CISPER,03819-280,11,1
312,-46482733,-23495675,355030828000001,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,CDM BENEDICTO RAMOS RODRIGUES,"RUA DOUTOR VENÂNCIO DE OLIVEIRA LISBOA, 242",PARQUE BOTURUSSU,03804-160,11,1
313,-46467264,-23501648,355030887000064,3550308005193,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,CDM PEDRO JOSÉ NUNES,AVENIDA AV MARIO ALVES,JARDIM PEDRO JOSE NUNE,08061-380,11,1
314,-46493808,-23492165,355030828000154,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,CDM AREÃO DE VILA CISPER,RUA  BARRA DE SANTA ROSA / CAIÇARA DO RIO DO VENTO,VILA CISPER,03817-010,11,1
315,-46482458,-23485458,355030828000073,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,CDM ERMELINO MATARAZZO,"RUA REVERENDO JOÃO EUCLIDES PEREIRA, 8",JARDIM MATARAZZO,03814-080,11,1
316,-46441047,-23550725,355030847000068,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CDM ITAQUERA,RUA  GUILHERME VALENCIA,ITAQUERA,08253-280,11,1
317,-46433950,-23555520,355030847000060,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CDM ARAUJO,"RUA  BERNADINO PRUDENTI, 194",Itaquera,08255-020,11,1
318,-46402853,-23591532,355030825000278,3550308005271,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CDM DONA HERCILIA ALVES DA SILVEIRA,"AVENIDA DOS TEXTEIS, 1331",CIDADE TIRADENTES,08490-600,11,1
319,-46405946,-23567055,355030825000012,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CDM PASSAGEM FUNDA,"AVENIDA DOUTOR GUILHERME DE ABREU SODRE, 50",COHAB PRESTES MAIA,08409-010,11,1
320,-46416342,-23555382,355030831000161,3550308005265,31,GUAIANASES,28,GUAIANAZES,Leste,Leste 2,CDM ISIDORO MATEUS,RUA NOSSA SENHORA FONTE,JARDIM SÃO CARLOS,08410-440,11,1
321,-46402039,-23549797,355030831000025,3550308005264,31,GUAIANASES,28,GUAIANAZES,Leste,Leste 2,CDM GUAIANAZES,RUA  CASTELO DE LEÇA,JARDIM SOARES,08460-160,11,1
322,-46428453,-23498423,355030874000099,3550308005197,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,CDM TIDE SETUBAL,"RUA  MARIO DALLARI, 170",JARDIM SÃO VICENTE,08021-580,11,1
323,-46421788,-23495532,355030884000103,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CDM JOSÉ AMANCIO FERNANDES,RUA  GRAPIRA,VILA CURUÇA,08030-190,11,1
324,-46416247,-23501588,355030884000030,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CDM ARLINDO DE OLIVEIRA MIRAGAIA,"RUA  PEROBA ROSA, 65",JARDIM MIRAGAIA,08161-310,11,1
325,-46408086,-23525812,355030884000163,3550308005252,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CDM MAMONAS,"AVENIDA  TEODORO BERNARDO DO NASCIMENTO, 126",JARDIM ROBRU,08150-000,11,1
326,-46428483,-23476360,355030844000123,3550308005244,43,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,CDM JOÃO CAVALCANTE LEAL,"RUA  TRÊS MENINAS, 15-A",CHÁCARA TRÊS MENINAS,08090-200,11,1
327,-46409937,-23488785,355030844000047,3550308005245,43,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,CDM JARDIM NOEMIA,"RUA  FRANCISCO ANTONIO MEIRA, 447",JARDIM MAIA,08180-270,11,1
328,-46389506,-23512432,355030836000285,3550308005254,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CDM PARQUE VEREDA,RUA  MAGNÓLIA AZUL / JUNCO FLORIDO,JARDIM CAMARGO,08141-640,11,1
329,-46372242,-23510073,355030836000217,3550308005255,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CDM CIDADE KEMEL,RUA  MARCO ANTÔNIO SETTI / MARIO GUIMARÃES,ITAIM PAULISTA,08130-230,11,1
330,-46376670,-23486338,355030836000258,3550308005250,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CDM JARDIM OLIVEIRAS,RUA  MOISÉS ALVES DOS SANTOS,JARDIM DAS OLIVEIRAS,08111-510,11,1
331,-46776695,-23735036,355030843000264,3550308005290,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CAMPO DO JARDIM VERA CRUZ,RUA  ANGELO TARCHI,JARDIM  VERA CRUZ,04965-000,12,1
332,-46717609,-23759404,355030823000211,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO G.R. ESPERANÇA,RUA  ILDA LAURA FRACAROLLI / ERNESTA FRACAROLLI,JARDIM SÃO RAFAEL,04860-030,12,1
333,-46702765,-23764562,355030830000405,3550308005285,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO JARDIM SANTA FÉ II,RUA  JÚLIA MAMÉIA / PORFÍRIO DE GAZA,JD. STA. FÉ,04859-100,12,1
334,-46696574,-23770375,355030830000341,3550308005282,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO JARDIM MIRNA,"RUA DOUTOR JUVENAL HUDSON FERREIRA, 162 / JANDIRA NOGUEIRA",JD. MYRNA,04856-140,12,1
335,-46703756,-23756583,355030830000384,3550308005285,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO ESPORTE CLUBE FORÇA  JOVEM,"RUA DOUTOR ARMANDO FAJARDO, 20 / OBERON DE WEBER",JD.S.BERNARDO,04844-590,12,1
